01/01/14,00:00,250250002,BOSTON-KENMORE,-5,NO2,PPB,26,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250002,BOSTON-KENMORE,-5,CO,PPM,0.2,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250002,BOSTON-KENMORE,-5,SO2,PPB,3,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250002,BOSTON-KENMORE,-5,NOX,PPB,39,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250002,BOSTON-KENMORE,-5,NO,PPB,13,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250041,Boston - Long Island,-5,BARPR,MILLIBAR,1017.1,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250041,Boston - Long Island,-5,SRAD,WATTS/M2,4,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250041,Boston - Long Island,-5,NOX,PPB,13,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250041,Boston - Long Island,-5,NO,PPB,0,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250041,Boston - Long Island,-5,OZONE,PPB,21,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250041,Boston - Long Island,-5,NO2,PPB,13,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250041,Boston - Long Island,-5,TEMP,C,-5,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250041,Boston - Long Island,-5,WS,M/S,2.5,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250041,Boston - Long Island,-5,WD,DEGREES,237,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250041,Boston - Long Island,-5,RHUM,PERCENT,62,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,OZONE,PPB,8,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,NO2,PPB,29,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,SRAD,WATTS/M2,2,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,NOX,PPB,43,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,TEMP,C,-5,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,NOY,PPB,46.2,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,PM2.5,UG/M3,18.1,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,WS,M/S,2.9,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,WD,DEGREES,204,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,RHUM,PERCENT,54,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,BARPR,MILLIBAR,1015.7,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,CO,PPM,0.39,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250042,Boston - Roxbury,-5,SO2,PPB,2.2,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250043,Boston - North End,-5,PM2.5,UG/M3,29.5,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250044,Boston-Von Hillern,-5,WD,DEGREES,241,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250044,Boston-Von Hillern,-5,PM2.5,UG/M3,18.8,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250044,Boston-Von Hillern,-5,WS,M/S,1.6,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250044,Boston-Von Hillern,-5,BARPR,MILLIBAR,1018.4,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250044,Boston-Von Hillern,-5,CO,PPM,0.51,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250044,Boston-Von Hillern,-5,RHUM,PERCENT,61,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250044,Boston-Von Hillern,-5,SRAD,WATTS/M2,0,Massachusetts Dept. of Environmental Protection
01/01/14,00:00,250250044,Boston-Von Hillern,-5,TEMP,C,-4,Massachusetts Dept. of Environmental Protection
02/01/14,00:00,250250002,BOSTON-KENMORE,-5,NO2,PPB,32,Massachusetts Dept. of Environmental Protection
02/01/14,00:00,250250002,BOSTON-KENMORE,-5,CO,PPM,0.3,Massachusetts Dept. of Environmental Protection
02/01/14,00:00,250250002,BOSTON-KENMORE,-5,SO2,PPB,4,Massachusetts Dept. of Environmental Protection
02/01/14,00:00,250250002,BOSTON-KENMORE,-5,NOX,PPB,47,Massachusetts Dept. of Environmental Protection
