"250250002","BOSTON-KENMORE","Active","R1","42.3489","-71.097702","0.0","-5.0","US","MA","01/01/20","00:00","Massachusetts Dept. of Environmental Protection","Boston","","","","17.0","0","0","0","1","","","","","18.0","PPB","","","1.0","PPB","",""
"250250044","Boston-Von Hillern","Active","R1","42.325197","-71.056056","4.0","-5.0","US","MA","01/01/20","00:00","Massachusetts Dept. of Environmental Protection","","","","22.0","19.0","0","0","1","1","5.0","UG/M3","","","20.0","PPB","0.37","PPM","","","",""
"250250042","Boston - Roxbury","Active","R1","42.329399","-71.082497","0.0","-5.0","US","MA","01/01/20","00:00","Massachusetts Dept. of Environmental Protection","Boston","17.0","","20.0","14.0","1","0","1","1","13.0","UG/M3","16.0","PPB","15.0","PPB","0.37","PPM","1.0","PPB","",""
"250250043","Boston - North End","Inactive","R1","42.3631","-71.0542","0.0","-5.0","US","MA","01/01/20","00:00","Massachusetts Dept. of Environmental Protection","Boston","","","","","0","0","1","0","","","","","","","","","","","",""
"250250041","Boston - Long Island","Inactive","R1","42.3172","-70.9667","0.0","-5.0","US","MA","01/01/20","00:00","Massachusetts Dept. of Environmental Protection","Boston","","","","","1","0","0","1","","","","","","","","","","","",""
"250250002","BOSTON-KENMORE","Active","R1","42.3489","-71.097702","0.0","-5.0","US","MA","02/01/20","00:00","Massachusetts Dept. of Environmental Protection","Boston","","","","36.0","0","0","0","1","","","","","38.0","PPB","","","1.0","PPB","",""
"250250044","Boston-Von Hillern","Active","R1","42.325197","-71.056056","4.0","-5.0","US","MA","02/01/20","00:00","Massachusetts Dept. of Environmental Protection","","","","44.0","36.0","0","0","1","1","10.0","UG/M3","","","38.0","PPB","0.41","PPM","","","",""
"250250042","Boston - Roxbury","Active","R1","42.329399","-71.082497","0.0","-5.0","US","MA","02/01/20","00:00","Massachusetts Dept. of Environmental Protection","Boston","17.0","","31.0","32.0","1","0","1","1","7.0","UG/M3","10.0","PPB","34.0","PPB","0.45","PPM","1.0","PPB","",""
"250250043","Boston - North End","Inactive","R1","42.3631","-71.0542","0.0","-5.0","US","MA","02/01/20","00:00","Massachusetts Dept. of Environmental Protection","Boston","","","","","0","0","1","0","","","","","","","","","","","",""
"250250041","Boston - Long Island","Inactive","R1","42.3172","-70.9667","0.0","-5.0","US","MA","02/01/20","00:00","Massachusetts Dept. of Environmental Protection","Boston","","","","","1","0","0","1","","","","","","","","","","","",""
