date,pm25,pm10,o3,no2,so2, co
2021/11/4,20, ,15,14,1,3
2021/11/5,22, ,21,17,1,5
2021/11/6,30, ,21,19,1,5
2021/11/7,41, ,23,21,1,6
2021/11/8,48, ,22,25,1,7
2021/11/9,56, ,25,26,1,7
2021/11/10,55, ,19,15,1,4
2021/11/11,42, ,22,15,1,4
2021/11/12,26, ,29,5, ,2
2021/11/13,26, ,26,9,1,4
2021/11/14,22, ,15,7,1,3
2021/11/15,22, ,15,8, ,3
2021/11/16,24, ,17,7, ,3
2021/11/17,13, ,23,16,1,4
2021/11/18,24, ,35,9,1,3
2021/11/19,54, ,19,8, ,2
2021/11/20,14, ,21,12, ,3
2021/11/21,16, ,22,14, ,4
2021/11/22,26, ,24,8, ,3
2021/11/23,24, ,22,9, ,2
2021/11/24,11, ,22,11,1,3
2021/11/25,14, ,22,14,1,4
2021/11/26,28, ,14,10,1,3
2021/11/27,32, ,23,3, ,1
2021/11/28,9, ,24,7, ,2
2021/11/29,22, ,21,17,1,3
2021/11/30,34, ,21,14,1,3
2021/12/1,24, ,18,18,1,4
2021/12/2,45, ,28,19,1,4
2021/12/3,47, ,22,9,1,3
2021/12/4,13, ,24,15, ,4
2021/12/5,30, ,25,13,1,4
2021/12/6,26, ,36,9,1,3
2021/12/7,42, ,21,13,1,3
2021/12/8,14, ,18,16,1,2
2021/12/9,25, ,20,14,1,3
2021/12/10,33, ,14,22,1,5
2021/12/11,43, ,23,14,1,6
2021/12/12,62, ,27,5,1,2
2021/12/13,15, ,21,13,1,3
2021/12/14,20, ,22,15,1,3
2021/12/15,20, ,12,46,3,4
2021/12/16,24, ,22,18,4,3
2021/12/17,35, ,30,9,1,2
2021/12/18,28, ,21,13,1,2
2021/12/19,23, ,14,39,6,2
2021/12/20,18, ,19,28,5,3
2021/12/21,27, ,14,32,3,6
2021/12/22,44, ,23,18,1,5
2021/12/23,47, ,26,9, ,2
2021/12/24,14, ,22,17,1,4
2021/12/25,32, ,11,18,1,4
2021/12/26,64, ,18,9,1,3
2021/12/27,26, ,13,13,1,3
2021/12/28,27, ,12,15,1,4
2021/12/29,40, ,9,15,1,4
2021/12/30,42, ,2,23,1,5
2021/12/31,52, ,4,18,1,5
2022/1/1,66, ,8,15, ,4
2022/1/2,56, ,24,9, ,4
2022/1/3,26, ,23,11,1,1
2021/7/2,36, ,24,4,1,1
2021/7/3,19, ,10,3, ,1
2021/7/4,20, ,12,4,1,1
2021/7/5,27, ,22,6,1,1
2021/7/6,29, ,42,8,1,1
2021/7/7,50, ,35,12,1,1
2021/7/8,61, ,20,5,1,1
2021/7/9,38, ,12,9,1,1
2021/7/10,24, ,18,6,1,1
2021/7/11,32, ,26,8,1,2
2021/7/12,47, ,29,8, ,1
2021/7/13,31, ,27,5, ,1
2021/7/14,20, ,13,12,1,2
2021/7/15,47, ,30,12,1,3
2021/7/16,34, ,40,11,1,1
2021/7/17,55, ,26,5,1,1
2021/7/18,35, ,20,6,1,1
2021/7/19,32, ,14,9,1,2
2021/7/20,24, ,32,10,1,4
2021/7/21,94, ,38,11,1,3
2021/7/22,66, ,27,8,1,2
2021/7/23,30, ,27,10,1,2
2021/7/24,41, ,27,9,1,2
2021/7/25,34, ,30,5,1,1
2021/7/26,40, ,42,11,1,4
2021/7/27,104, ,37,12,1,2
2021/7/28,82, ,17,5, ,2
2021/7/29,44, ,28,7,1,1
2021/7/30,32, ,25,10,1,1
2021/7/31,18, ,20,5,1,1
2021/8/1,20, ,28,7,1,1
2021/8/2,28, ,27,10,1,2
2021/8/3,32, ,23,10,1,2
2021/8/4,31, ,36,10,1,2
2021/8/5,37, ,34,9, ,2
2021/8/6,14, ,38,10,1,2
2021/8/7,45, ,45,8,1,3
2021/8/8,54, ,33,9,1,2
2021/8/9,57, ,24,6,1,2
2021/8/10,53, ,26,8,1,2
2021/8/11,23, ,37,7,1,1
2021/8/12,47, ,42,9,1,1
2021/8/13,46, ,39,14,1,2
2021/8/14,38, ,33,7,1,1
2021/8/15,37, ,29,7,1,1
2021/8/16,29, ,27,8,1,2
2021/8/17,24, ,33,9,1,1
2021/8/18,36, ,29,9,1,2
2021/8/19,27, ,21,6,1,2
2021/8/20,26, ,15,9,1,3
2021/8/21,25, ,28,11,1,3
2021/8/22,26, ,21,4,1,1
2021/8/23,16, ,25,9,1,1
2021/8/24,16, ,26,10,1,3
2021/8/25,23, ,40,12,1,5
2021/8/26,59, ,46,12,1,5
2021/8/27,60, ,35,14,1,4
2021/8/28,51, ,23,2,1,3
2021/8/29,15, ,24,5,1,4
2021/8/30,19, ,30,9,1,4
2021/8/31,30, ,30,11,1,4
2021/9/1,36, ,19,14,1,4
2021/9/2,31, ,26,9,1,3
2021/9/3,21, ,15,8,1,4
2021/9/4,20, ,13,5,1,5
2021/9/5,19, ,26,6,1,5
2021/9/6,28, ,32,5,1,4
2021/9/7,28, ,27,10,1,4
2021/9/8,25, ,40,10,1,4
2021/9/9,30, ,34,12,1,4
2021/9/10,33, ,18,10,1,4
2021/9/11,25, ,30,8,1,4
2021/9/12,28, ,37,6,1,4
2021/9/13,40, ,28,11,1,4
2021/9/14,37, ,26,11,1,3
2021/9/15,23, ,36,4,1,4
2021/9/16,44, ,20,9,1,2
2021/9/17,23, ,13,6,1,3
2021/9/18,22, ,19,9,1,4
2021/9/19,24, ,18,5,1,3
2021/9/20,27, ,19,7,1,4
2021/9/21,24, ,20,9,1,5
2021/9/22,28, ,24,8, ,4
2021/9/23,23, ,30,9,1,3
2021/9/24,19, ,24,5,1,3
2021/9/25,19, ,26,6,1,3
2021/9/26,24, ,24,5,1,4
2021/9/27,24, ,36,7,1,4
2021/9/28,30, ,23,11, ,4
2021/9/29,38, ,19,6, ,2
2021/9/30,22, ,11,6,1,4
2021/10/1,18, ,13,8,1,5
2021/4/2,21, ,28,10, ,1
2021/4/3,25, ,33,16, ,2
2021/4/4,24, ,33,16,1,3
2021/4/5,27, ,33,13,1, 
2021/4/6,26, ,28,11,1,1
2021/4/7,18, ,23,16,1,2
2021/4/8,21, ,27,10, ,1
2021/4/9,17, ,28,14,1,2
2021/4/10,27, ,38,8, ,1
2021/4/11,32, ,26,4,1,1
2021/4/12,36, ,26,7,1,1
2021/4/13,22, ,30,12,1,1
2021/4/14,30, ,28,5, ,1
2021/4/15,28, ,28,8, ,1
2021/4/16,30, ,29,12, ,1
2021/4/17,21, ,24,12, ,1
2021/4/18,17, ,27,11,1,1
2021/4/19,27, ,29,17,1,3
2021/4/20,39, ,41,15,1,1
2021/4/21,40, ,38,13, ,1
2021/4/22,36, ,31,8, ,1
2021/4/23,18, ,36,9, ,1
2021/4/24,22, ,47,11, ,1
2021/4/25,39, ,42,10, ,1
2021/4/26,41, ,24,9, ,1
2021/4/27,19, ,33,14, ,2
2021/4/28,24, ,30,16, ,1
2021/4/29,41, ,25,16, ,2
2021/4/30,39, ,28,9, ,1
2021/5/1,19, ,26,6, ,1
2021/5/2,18, ,40,8,1,1
2021/5/3,30, ,27,9, ,1
2021/5/4,27, ,26,9, ,1
2021/5/5,28, ,23,9, ,1
2021/5/6,24, ,28,10, ,1
2021/5/7,17, ,23,9,1,1
2021/5/8,20, ,23,6, ,1
2021/5/9,22, ,33,5, ,1
2021/5/10,28, ,28,10, ,1
2021/5/11,29, ,27,8,1,1
2021/5/12,21, ,27,9, ,1
2021/5/13,19, ,30,15,1,1
2021/5/14,26, ,34,14, ,2
2021/5/15,39, ,35,10,1,2
2021/5/16,46, ,40,9, ,1
2021/5/17,40, ,37,15, ,2
2021/5/18,43, ,43,16, ,1
2021/5/19,40, ,32,11, ,1
2021/5/20,34, ,30,7, ,1
2021/5/21,33, ,36,11, ,1
2021/5/22,36, ,49,9,1,1
2021/5/23,46, ,31,6, ,1
2021/5/24,40, ,31,4, ,1
2021/5/25,23, ,34,7, ,1
2021/5/26,29, ,45,4,1,1
2021/5/27,41, ,29,8, ,1
2021/5/28,36, ,28,4, ,1
2021/5/29,20, ,29,3, ,1
2021/5/30,23, ,26,3, ,1
2021/5/31,25, ,21,7, ,1
2021/6/1,26, ,41,7,1,1
2021/6/2,21, ,45,11, ,2
2021/6/3,34, ,24,9, ,1
2021/6/4,30, ,26,9, ,1
2021/6/5,32, ,66,8,1,1
2021/6/6,48, ,56,7,1,1
2021/6/7,54, ,48,12,1,1
2021/6/8,63, ,40,11,1,1
2021/6/9,54, ,34,11, ,1
2021/6/10,46, ,22,15,1,1
2021/6/11,23, ,23,7,1,1
2021/6/12,34, ,33,9, ,1
2021/6/13,35, ,36,5,1,1
2021/6/14,37, ,26,13, ,1
2021/6/15,22, ,16,15,1,2
2021/6/16,28, ,19,12, ,1
2021/6/17,39, ,18,12, ,1
2021/6/18,31, ,50,11,1,1
2021/6/19,38, ,44,7,1, 
2021/6/20,45, ,47,5,1, 
2021/6/21,37, ,32,10,1, 
2021/6/22,57, ,12,10, ,1
2021/6/23,25, ,23,7, ,1
2021/6/24,30, ,25,8,1,1
2021/6/25,32, ,20,9,1,1
2021/6/26,13, ,18,1, ,1
2021/6/27,15, ,26,2, , 
2021/6/28,26, ,42,6,1,1
2021/6/29,43, ,41,8,1,1
2021/6/30,50, ,43,10,1,1
2021/7/1,40, ,26,10, ,1
2021/1/5,32, ,21,18, ,2
2021/1/6,31, ,21,14, ,2
2021/1/7,33, ,23,12, ,2
2021/1/8,33, ,23,15, ,2
2021/1/9,32, ,25,17, ,2
2021/1/10,29, ,25,17,1,2
2021/1/11,37, ,9,29,1,5
2021/1/12,59, ,16,22,1,3
2021/1/13,54, ,16,19,1,2
2021/1/14,50, ,6,25,1,3
2021/1/15,84, ,19,15,1,2
2021/1/16,57, ,28,6, ,1
2021/1/17,22, ,23,5, ,1
2021/1/18,24, ,21,9, ,1
2021/1/19,24, ,20,13, ,2
2021/1/20,31, ,25,16, ,2
2021/1/21,36, ,21,20, ,2
2021/1/22,36, ,18,19,1,3
2021/1/23,46, ,25,7, ,1
2021/1/24,20, ,29,5, ,1
2021/1/25,23, ,26,15, ,1
2021/1/26,27, ,24,19,1,2
2021/1/27,29, ,15,25, ,1
2021/1/28,30, ,25,19, ,1
2021/1/29,24, ,23,11, ,1
2021/1/30,36, ,25,12, ,1
2021/1/31,44, ,17,18,1,2
2021/2/1,50, ,24,15, ,2
2021/2/2,41, ,25,9, ,1
2021/2/3,21, ,26,16, ,2
2021/2/4,24, ,24,21,1,2
2021/2/5,35, ,21,32,1,4
2021/2/6,59, ,28,17, ,2
2021/2/7,58, ,18,22, ,3
2021/2/8,48, ,26,20, ,2
2021/2/9,53, ,14,29,1,2
2021/2/10,59, ,25,21, ,2
2021/2/11,59, ,26,22, ,2
2021/2/12,56, ,24,17, ,1
2021/2/13,34, ,24,11,1,1
2021/2/14,25, ,19,18,1,2
2021/2/15,33, ,22,14,1,2
2021/2/16,34, ,25,19, ,2
2021/2/17,23, ,27,13, ,1
2021/2/18,26, ,21,16,1,2
2021/2/19,28, ,20,20, ,2
2021/2/20,36, ,28,18, ,2
2021/2/21,36, ,30,16, ,2
2021/2/22,32, ,28,24,1,3
2021/2/23,47, ,33,16, ,1
2021/2/24,42, ,35,14, ,1
2021/2/25,29, ,30,9, ,1
2021/2/26,25, ,30,15, ,1
2021/2/27,31, ,25,14, ,2
2021/2/28,36, ,25,14, ,2
2021/3/1,37, ,28,15,1,2
2021/3/2,30, ,28,8, ,1
2021/3/3,25, ,29,15, ,2
2021/3/4,35, ,27,13, ,1
2021/3/5,27, ,29,10, ,1
2021/3/6,20, ,29,9, ,1
2021/3/7,28, ,28,10, ,1
2021/3/8,29, ,27,18, ,2
2021/3/9,32, ,32,16,1,2
2021/3/10,37, ,29,18,1,2
2021/3/11,37, ,44,16,1,2
2021/3/12,55, ,35,13, ,1
2021/3/13,37, ,30,7, ,1
2021/3/14,22, ,32,7, ,1
2021/3/15,21, ,30,12, ,1
2021/3/16,26, ,26,18,1,2
2021/3/17,33, ,33,14, ,2
2021/3/18,38, ,26,16, ,2
2021/3/19,54, ,30,9, ,1
2021/3/20,25, ,32,19, ,2
2021/3/21,28, ,34,20,1,3
2021/3/22,38, ,33,20, ,2
2021/3/23,41, ,28,22,1,2
2021/3/24,37, ,21,22,1,3
2021/3/25,41, ,24,25,1,2
2021/3/26,48, ,27,8,1,1
2021/3/27,35, ,27,6, ,1
2021/3/28,16, ,24,4,1,1
2021/3/29,23, ,28,10,1,1
2021/3/30,20, ,36,15, ,2
2021/3/31,27, ,36,9, ,1
2021/4/1,32, ,27,11, ,1
2020/10/2,45, ,18,16, ,2
2020/10/3,51, ,24,11, ,2
2020/10/4,43, ,25,8, ,1
2020/10/5,35, ,19,7, ,1
2020/10/6,40, ,28,13, ,1
2020/10/7,42, ,33,10,1, 
2020/10/8,38, ,20,7, ,1
2020/10/9,25, ,21,11, ,1
2020/10/10,35, ,33,6, ,1
2020/10/11,47, ,22,3, ,1
2020/10/12,30, ,21,3, ,1
2020/10/13,27, ,17,7, ,1
2020/10/14,27, ,24,13, ,2
2020/10/15,36, ,38,13,1,2
2020/10/16,48, ,24,14, ,1
2020/10/17,32, ,21,10,1,2
2020/10/18,36, ,25,13,1,4
2020/10/19,53, ,21,17,1,4
2020/10/20,48, ,18,16,1,2
2020/10/21,41, ,15,12, ,2
2020/10/22,26, ,16,10,1,2
2020/10/23,31, ,20,6, ,1
2020/10/24,34, ,21,7, , 
2020/10/25,33, ,20,5, ,1
2020/10/26,32, ,21,7, ,1
2020/10/27,34, ,16,12, ,1
2020/10/28,30, ,12,13, ,2
2020/10/29,21, ,19,14,1,2
2020/10/30,28, ,19,14, ,2
2020/10/31,26, ,16,22,1,5
2020/11/1,50, ,17,19,1,4
2020/11/2,44, ,22,8,1,1
2020/11/3,20, ,20,12, ,1
2020/11/4,31, ,23,17, ,2
2020/11/5,37, ,28,12, ,1
2020/11/6,33, ,31,13,1,1
2020/11/7,35, ,34,18,1,2
2020/11/8,56, ,34,23,1,4
2020/11/9,65, ,12,32,1,8
2020/11/10,82, ,26,21,1,3
2020/11/11,58, ,21,8, ,1
2020/11/12,13, ,17,12, ,1
2020/11/13,16, ,11,11,1,1
2020/11/14,29, ,16,13, ,2
2020/11/15,34, ,32,11,1,2
2020/11/16,33, ,25,12, ,1
2020/11/17,21, ,21,14, ,1
2020/11/18,28, ,21,14, ,1
2020/11/19,28, ,24,18, ,2
2020/11/20,38, ,23,13, ,2
2020/11/21,36, ,22,14, ,2
2020/11/22,43, ,20,5, ,1
2020/11/23,27, ,15,11, ,1
2020/11/24,24, ,20,15, ,1
2020/11/25,26, ,8,26,1,5
2020/11/26,47, ,24,15,1,3
2020/11/27,39, ,8,16,1,4
2020/11/28,30, ,18,13, ,2
2020/11/29,31, ,21,15, ,1
2020/11/30,31, ,29,11,1,1
2020/12/1,36, ,28,8, ,1
2020/12/2,32, ,20,11, ,1
2020/12/3,25, ,22,17,1,2
2020/12/4,34, ,24,15,1,2
2020/12/5,39, ,20,7, ,1
2020/12/6,20, ,19,6, ,1
2020/12/7,16, ,20,13, ,1
2020/12/8,26, ,19,13, ,1
2020/12/9,31, ,12,21,1,2
2020/12/10,43, ,11,18,1,2
2020/12/11,43, ,17,23,1,3
2020/12/12,57, ,13,21,1,5
2020/12/13,63, ,19,12,1,2
2020/12/14,42, ,8,19, ,2
2020/12/15,34, ,20,13, ,1
2020/12/16,33, ,24,14, ,2
2020/12/17,35, ,24,11, ,1
2020/12/18,21, ,22,26,1,3
2020/12/19,39, ,14,30,1,4
2020/12/20,55, ,4,33,1,5
2020/12/21,71, ,7,24,1,7
2020/12/22,71, ,23,17,1,4
2020/12/23,48, ,19,20,1,3
2020/12/24,35, ,29,15,1,2
2020/12/25,32, ,30,3, ,1
2020/12/26,23, ,18,6, ,1
2020/12/27,33, ,18,15, ,2
2020/12/28,46, ,21,22,1,2
2020/12/29,49, ,23,11, ,1
2020/12/30,25, ,26,19, ,2
2020/12/31,32, ,27,11, ,1
2021/1/1,23, ,20,15, ,2
2021/1/2,40, ,24,9, ,1
2021/1/3,20, ,20,16, ,2
2021/1/4,38, ,19,12, ,2
2020/7/2,40, ,31,9,1,2
2020/7/3,39, ,27,4,1,1
2020/7/4,38, ,25,3,1,1
2020/7/5,37, ,30,6,1,2
2020/7/6,73, ,21,5,1,1
2020/7/7,21, ,27,4,1,1
2020/7/8,25, ,28,3, ,2
2020/7/9,32, ,40,7,1,2
2020/7/10,50, ,17,4,1, 
2020/7/11,29, ,26,2,1,1
2020/7/12,23, ,32,2,1,1
2020/7/13,21, ,29,8, ,2
2020/7/14,28, , ,7, ,1
2020/7/15,32, ,14,2,1,1
2020/7/16,18, ,19,5,1,1
2020/7/17,22, ,17,8,1,1
2020/7/18,24, ,36,7,1,1
2020/7/19,25, , ,5, ,2
2020/7/20,41, ,38,8,1,2
2020/7/21,41, ,30,11,1,1
2020/7/22,36, ,22,9,1,1
2020/7/23,32, ,32,12,1,2
2020/7/25,42, ,38,12,1,2
2020/7/26,46, ,37,4,1,1
2020/7/27,43, ,48,9,1,1
2020/7/28,41, ,40,9,1,1
2020/7/29,44, ,39,9,1,1
2020/7/30,44, ,42,10,1,1
2020/7/31,41, ,24,10,1,1
2020/8/1,42, ,35,9,1,2
2020/8/2,48, ,30,4,1,1
2020/8/3,43, ,36,8,1,1
2020/8/4,43, ,28,8,1,1
2020/8/5,47, ,42,8,1,1
2020/8/6,41, ,37,12,1,1
2020/8/7,45, ,25,13,1,1
2020/8/8,46, ,34,8,1,1
2020/8/9,42, ,37,3,1,1
2020/8/10,41, ,44,9,1,2
2020/8/11,50, ,53,9,1,2
2020/8/12,59, ,37,11,1,1
2020/8/13,48, ,31,10,1,2
2020/8/14,46, ,24,9,1,2
2020/8/15,54, ,17,3,1,1
2020/8/16,50, ,17,3,1,1
2020/8/17,41, ,23,4,1,1
2020/8/18,31, ,31,9,1,1
2020/8/19,33, ,22,13,1,2
2020/8/20,43, ,22,10,1,1
2020/8/21,37, ,51,10,1,2
2020/8/22,51, ,39,11,1,3
2020/8/23,50, ,38,8,1,2
2020/8/24,48, ,38,11,1,2
2020/8/25,45, ,36,9,1,1
2020/8/26,46, ,25,9,1,1
2020/8/27,28, ,14,14,1,2
2020/8/28,38, ,23,12,1,3
2020/8/29,40, ,23,6,1,2
2020/8/30,40, ,22,4,1,1
2020/8/31,24, ,23,8,1,1
2020/9/1,38, ,20,6,1,1
2020/9/2,32, ,16,7, ,1
2020/9/3,28, ,16,11, ,2
2020/9/4,36, ,30,11, ,1
2020/9/5,36, ,26,8, ,1
2020/9/6,34, ,34,7, ,2
2020/9/7,48, ,28,5, ,1
2020/9/8,39, ,32,9, ,1
2020/9/9,41, ,28,9, ,1
2020/9/10,47, ,13,7, ,1
2020/9/11,33, ,14,6, ,1
2020/9/12,24, ,18,4, ,1
2020/9/13,31, ,24,6, ,1
2020/9/14,37, ,22,8, , 
2020/9/15,28, ,18,11, ,1
2020/9/16,33, ,25,9, ,1
2020/9/17,35, ,33,11, ,1
2020/9/18,36, ,20,6, ,1
2020/9/19,35, ,22,7, ,1
2020/9/20,31, ,21,5,1,1
2020/9/21,34, ,19,12, ,1
2020/9/22,35, ,26,14, ,1
2020/9/23,36, ,31,13, ,2
2020/9/24,45, ,30,14, ,2
2020/9/25,57, ,24,14, ,3
2020/9/26,61, ,39,8, ,2
2020/9/27,68, ,27,5, ,1
2020/9/28,32, ,20,8, ,1
2020/9/29,29, ,23,8, ,1
2020/9/30,37, ,26,6, ,1
2020/10/1,26, ,28,10, ,1
2020/4/2,30, ,23,9,1,1
2020/4/3,14, ,28,7,1,1
2020/4/4,13, ,26,2,1,1
2020/4/5,14, ,25,5,1,1
2020/4/6,21, ,31,7,1,1
2020/4/7,19, ,33,13,1,1
2020/4/8,24, ,25,13,1,1
2020/4/9,30, ,28,10,1,1
2020/4/10,23, ,26,7,1,1
2020/4/11,14, ,28,4,1,1
2020/4/12,16, ,37,8,1,1
2020/4/13,31, ,34,4,1,1
2020/4/14,28, ,34,8,1,1
2020/4/15,25, ,35,12,1,1
2020/4/16,25, ,32,11,1,1
2020/4/17,29, ,36,8,1,1
2020/4/18,29, ,33,9,1,1
2020/4/19,26, ,44,7,1,1
2020/4/20,39, ,30,10,1,1
2020/4/21,24, ,36,13,1,1
2020/4/22,30, ,35,6,1,1
2020/4/23,23, ,39,11,1,1
2020/4/24,30, ,32,15,1,2
2020/4/25,44, ,37,13,1,3
2020/4/26,46, ,33,6,1,1
2020/4/27,34, ,32,3,1, 
2020/4/28,16, ,32,7,1,1
2020/4/29,25, ,29,9,1,1
2020/4/30,31, ,26,4,1,1
2020/5/1,34, ,29,13,1,3
2020/5/2,29, ,34,8,1,2
2020/5/3,29, ,42,7,1,2
2020/5/4,38, ,32,8,1,1
2020/5/5,23, ,26,5,1,1
2020/5/6,22, ,29,7,1,1
2020/5/7,24, ,34,12,1,1
2020/5/8,25, ,32,8,1,2
2020/5/9,24, ,26,4,1,2
2020/5/10,20, ,34,7,1,2
2020/5/11,26, ,35,11,1,2
2020/5/12,38, ,29,6,1,2
2020/5/13,24, ,29,9,1,2
2020/5/14,26, ,41,12,1,3
2020/5/15,32, ,42,8,1,3
2020/5/16,42, ,31,4,1,2
2020/5/17,22, ,33,5,1,3
2020/5/18,31, ,26,8,1,2
2020/5/19,36, ,27,4,1,1
2020/5/20,33, ,29,6,1,1
2020/5/21,30, ,38,10,1,2
2020/5/22,27, ,39,7,1,3
2020/5/23,39, ,32,2,1,2
2020/5/24,34, ,24,2,1,1
2020/5/25,32, ,20,3,1,1
2020/5/26,35, ,19,9,1,2
2020/5/27,28, ,28,6,1,3
2020/5/28,21, ,16,4,1,2
2020/5/29,18, ,16,4,1,2
2020/5/30,19, ,32,4,1,3
2020/5/31,16, ,24,4,1,2
2020/6/1,15, ,25,8,1,2
2020/6/2,24, ,30,10,1,4
2020/6/3,26, ,43,11,1,6
2020/6/4,44, ,40,11,1,3
2020/6/5,53, ,35,9,1,1
2020/6/6,50, ,34,6,1,1
2020/6/7,35, ,20,5,1,1
2020/6/8,29, ,24,11,1,1
2020/6/9,31, ,34,13,1,1
2020/6/10,38, ,32,5,1,1
2020/6/11,48, ,26,6,1,1
2020/6/12,45, ,36,8,1,1
2020/6/13,34, ,27,5,1,1
2020/6/14,20, ,17,3,1, 
2020/6/15,27, ,17,3,1,1
2020/6/16,28, ,24,10,1,1
2020/6/17,39, ,29,12,1,2
2020/6/18,44, ,25,6,1,1
2020/6/19,23, ,30,5,1, 
2020/6/20,22, ,39,5,1,1
2020/6/21,35, ,41,6,1,2
2020/6/22,49, ,19,4, ,1
2020/6/23,18, ,38,7,1,1
2020/6/24,37, ,35,11,1,1
2020/6/25,44, ,40,11,1,1
2020/6/26,33, ,45,11,1,1
2020/6/27,47, ,39,8,1,1
2020/6/28,39, ,33,6,1,1
2020/6/29,32, ,28,12,1,2
2020/6/30,23, ,26,7,1,1
2020/7/1,23, ,25,10,1,1
2020/1/2,21, ,21,18,1,2
2020/1/3,32, ,15,23,1,4
2020/1/4,41, ,16,20,1,4
2020/1/5,45, ,23,7,1,1
2020/1/6,18, ,14,20,1,3
2020/1/7,34, ,21,21,1,2
2020/1/8,31, ,23,16,1,2
2020/1/9,39, ,19,16,1,2
2020/1/10,30, ,21,20,1,2
2020/1/11,40, ,31,7,1,1
2020/1/12,25, ,27,4,1,1
2020/1/13,18, ,18,11,1,2
2020/1/14,33, ,10,14,1,3
2020/1/15,42, ,17,19,1,3
2020/1/16,40, ,20,16,1,3
2020/1/17,30, ,28,14,1,1
2020/1/18,29, ,23,17,1,2
2020/1/19,31, ,22,19,1,3
2020/1/20,40, ,26,17,1,2
2020/1/21,30, ,24,25,1,3
2020/1/22,40, ,21,35,1,5
2020/1/23,56, ,20,34,1,5
2020/1/24,59, ,18,29,1,5
2020/1/25,62, ,27,8,1,2
2020/1/26,25, ,23,8,1,2
2020/1/27,15, ,14,12,1,2
2020/1/28,25, ,27,14,1,1
2020/1/29,17, ,27,16,1,1
2020/1/30,23, ,20,23,1,2
2020/1/31,35, ,26,26,1,3
2020/2/1,45, ,18,24,1,3
2020/2/2,46, ,18,17,1,3
2020/2/3,53, ,18,23,1,4
2020/2/4,45, ,10,30,1,6
2020/2/5,49, ,20,22,1,2
2020/2/6,35, ,18,16, ,2
2020/2/7,24, ,23,16, ,2
2020/2/8,17, ,27,7, ,1
2020/2/9,29, ,24,15, ,2
2020/2/10,36, ,26,16, ,2
2020/2/11,38, ,3,22, ,4
2020/2/12,47, ,26,16, ,2
2020/2/13,37, ,14,29, ,4
2020/2/14,40, ,27,14, ,2
2020/2/15,27, ,26,14, ,2
2020/2/16,34, ,25,15, ,2
2020/2/17,39, ,29,18, ,2
2020/2/18,43, ,23,15, ,2
2020/2/19,34, ,28,12, ,1
2020/2/20,25, ,26,15, ,1
2020/2/21,24, ,24,19, ,2
2020/2/22,34, ,31,15, ,3
2020/2/23,45, ,35,18, ,4
2020/2/24,50, ,36,20,1,3
2020/2/25,52, ,23,22,1,3
2020/2/26,50, ,29,17, ,2
2020/2/27,45, ,32,7, ,2
2020/2/28,18, ,30,12, ,2
2020/2/29,32, ,28,16, ,3
2020/3/1,33, ,26,11, ,2
2020/3/2,34, ,33,25, ,4
2020/3/3,45, ,33,11,1,3
2020/3/4,43, ,28,9,1,2
2020/3/5,30, ,27,18,1,3
2020/3/6,31, ,30,20,1,5
2020/3/7,42, ,32,7,1,1
2020/3/8,22, ,31,15,1,3
2020/3/9,32, ,37,17,1,3
2020/3/10,40, ,31,13,1,2
2020/3/11,44, ,27,12,1,2
2020/3/12,26, ,27,11,1,2
2020/3/13,33, ,30,10,1,2
2020/3/14,30, ,28,7,1,2
2020/3/15,27, ,35,7,1,1
2020/3/16,23, ,31,7,1,1
2020/3/17,27, ,25,17,1,3
2020/3/18,31, ,32,12,1,2
2020/3/19,28, ,27,9,1,1
2020/3/20,30, ,23,13,1,2
2020/3/21,33, ,31,5,1,1
2020/3/22,24, ,32,5,1,1
2020/3/23,31, ,29,8,1,1
2020/3/24,30, ,30,11, ,1
2020/3/25,22, ,29,7, ,1
2020/3/26,30, ,33,9, ,1
2020/3/27,33, ,33,12, ,1
2020/3/28,27, ,26,13, ,2
2020/3/29,34, ,20, , ,1
2020/3/30,36, , , , , 
